Date,Result,Score Tier,Reason,Target Kcal,Target Pro(g),Target Carb(g),Target Fat(g),Target Water(ml),Logs,Total Calories,Total Protein,Total Carbs,Total Fats,Pure Water (ml),Exercise Logged,Exercise Details
2026-07-05,Red,score-neg-3,"Rough day. Issues with calories higher than goal, low protein, carbs higher than goal, fats higher than goal, low hydration.",2400,150,270,80,3000,"Date Biscuits (100g) | Feteer Meshaltet With Sogoq | French Toast 180g | Hot Chocolate 240ml | Green Peppers, Onion, And Cheese | Omelette And Boiled Egg | Chocolate Cake Slice 80g | Date Biscuits (100g) | Unknown Product (25g)",3701,105,384,191,0,No,None
2026-07-06,Green,score-pos-1,"Good outweighed the bad. Managed calories on target, carbs on target, but had issues with low protein, fats higher than goal, low hydration.",2400,150,270,80,3000,"Blueberry Slushi 475ml | Large Cheese Popcorn | Mcdonald'S Medium Fries 117g | Coffee Gelato On Waffle Cone | Milk 30ml | Eggs | Deli Sun Tortilla (40g) | Biscoff Smooth | Chocolate chip cookies low cal (36g)",2141,44,253,105,0,No,None
2026-07-07,Green,score-pos-1,"Good outweighed the bad. Managed protein goal met, carbs on target, hydration goal met, but had issues with calories higher than goal, fats higher than goal.",2400,150,270,80,3000,"Molto Strawberry Cream 60g | Chicken Shawarma 600g | Rice 250g | French Fries 50g | Shish Tawook 180g | Choco Digesta Cookies | Turkey Slices 50g | Gouda Cheese | Eggs | Deli Sun Tortilla (40g)",2942,160,265,137,4000,No,None
2026-07-08,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Waffle Cone 30g | Salted Caramel Ice Cream 115g | Choco Digestive Cookies | Scrambled Eggs With Gouda And Turkey",965,35,85,54,0,No,None
2026-07-09,Green,score-pos-1,"Good outweighed the bad. Managed calories on target, carbs on target, but had issues with low protein, fats higher than goal, low hydration.",2400,150,270,80,3000,"Halawa 30g | Honey 7g | Milk 240ml | Chicken Shawarma 300g | Turkey Slices 60g | Gouda Cheese | Eggs | Molto with strawberry jam and whipped cream | Molto with strawberry jam and whipped cream | V pink lemonade (300g) | Deli Sun Tortilla (40g) | Bredawy brown bread (50g)",2650,102,290,116,1500,No,None
2026-07-10,Green,score-pos-2,"Good outweighed the bad. Managed calories on target, protein goal met, carbs on target, but had issues with fats higher than goal, low hydration.",2400,150,270,80,3000,"Shish Tawook 107g | White Rice 210g | French Fries 114g | Dates 48g | Pepperoni Pizza Slice 110g | Chicken Cutlets In Creamy Mushroom Sauce With Pasta 450g | Deli Sun Tortilla (40g) | Eggs | Turkey Slices 60g | Gouda Cheese | CHOCOPOPS Milk Chocolate (32g) | Greek Yogurt 0.2% Fat (180g)",2715,156,288,102,0,No,None
2026-07-11,Green,score-pos-2,"Good outweighed the bad. Managed calories on target, carbs on target, hydration goal met, but had issues with low protein, fats higher than goal.",2400,150,270,80,3000,"Lotus Biscoff Spread 30g | Greek Yogurt 0.2% Fat (180g) | Grilled Beef Liver | Lotus Biscoff Spread 30g | CHOCOPOPS Milk Chocolate (32g) | Basterma 45g | Gouda Cheese | Eggs | Lotus Biscoff Spread 30g | Air fried potato wedges (271g)",2478,122,233,115,2500,No,None
2026-07-12,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"Basterma 45g | Gouda Cheese | Eggs | Bredawy brown bread (100g) | Corona dark chocolate coffee | Lotus Biscoff Spread 30g",1352,54,119,73,0,No,None
2026-07-19,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"White Rice 105g | Chicken With Cooking Cream | French Fries 120g | Rice 150g | Shish Tawook 200g | Green Salad",1412,88,133,59,0,No,None
2026-07-20,Red,score-neg-3,"Rough day. Issues with calories higher than goal, low protein, carbs higher than goal, fats higher than goal, low hydration.",2400,150,270,80,3000,"Caramel Sundae 170g | Big Mac | Mcdonald'S Cheeseburger | Mozzarella Cheese 30g | Chicken Shawarma 100g | 3Esh Baladi 75g | Basterma 60g | Eggs | Orange Juice 240ml | Munchi Strawberry coronq | Deli Sun Tortilla (40g) | Choco Digestive Cookies | Lotus Biscoff Spread 30g",3056,133,316,138,0,No,None
2026-07-21,Green,score-pos-3,"Great day. Hit calories on target, protein goal met, fats on target, but had issues with carbs lower than goal, low hydration.",2400,150,270,80,3000,"Banana 118g | Deli Sun Tortilla (40g) | Banana 118g | Honey 7g | Basterma 70g | Eggs | Greek Yogurt 0.2% Fat (180g) | Choco Digesto Cookies | Deli Sun Tortilla (40g) | Chicken strips spicy air fried (400g)",2204,160,184,80,1500,No,None
2026-07-22,Green,score-pos-4,"Great day. Hit calories on target, protein goal met, fats on target, hydration goal met, but had issues with carbs lower than goal.",2400,150,270,80,3000,"Halewa 66g | Greek Yogurt 0.2% Fat (180g) | Honey 7g | Cooked White Rice 134g | Cooked Molokheya 190g | Turkey Slices 38g | Boiled Chicken 120g | Cooked White Rice 100g | Orange Juice 250ml | Light Gouda Cheese | Basterma 30g | Eggs | Bredawy brown bread (100g) | SUNSHINE (200g) | Chocolate cookies with chocolate chips (low cal) (18g)",2219,174,208,75,2500,No,None
2026-07-23,Green,score-pos-3,"Great day. Hit calories on target, protein goal met, fats on target, but had issues with carbs lower than goal, low hydration.",2400,150,270,80,3000,"Halawa 42g | Turkey Slices 35g | Fayrooz Ananas 240ml | Fish Slice 100g | Large Shrimps | Calamari Sticks 140g | Eggs | Basterma 30g | Light Gouda Cheese | Temry air fried chicken nuggets | Juhayna greek yogurt 2% (180g) | Deli Sun Tortilla (80g) | Temry air fried chicken nuggets | Chocolate cookies with chocolate chips (low cal) (12g) | Honey 7g | Deli Sun Tortilla (40g)",2257,145,186,91,1000,No,None
2026-07-24,Red,score-neg-1,"Slightly off. Struggled with calories lower than goal, low protein, carbs lower than goal, fats higher than goal, low hydration, only managing nothing.",2400,150,270,80,3000,"Potato Purée 150g | Breaded Chicken 180g | Beef Sausage | Ketchup And Mustard 20g | Butter 10g | Gouda Light Cheese | Chia Seeds 12g | Nescafe Powder 2g | Cocoa Powder 5g | Honey 7g | Oats 40g | Deli Sun Tortilla (80g) | Beef Stroganoff (20g) | Half cream milk (180g)",1822,97,151,93,0,No,None
2026-07-25,Grey,score-0,"Even split. Achieved protein goal met, carbs on target, but offset by calories higher than goal, fats higher than goal, low hydration.",2400,150,270,80,3000,"Roz Be Laban 150g | Breaded Chicken 200g | Milk 240ml | Chocolate Cereal 40g | Bazooka Fries 150g | Super Bazooka Beef Burger | Jalapeno Beef Burger | Small Cheese Burger",3155,150,276,159,0,No,None
2026-07-26,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Roz Be Laban 150g | Vienna Bread 50g | Honey 21g | Chicken Shawarma 280g | Gouda Light Cheese | Eggs | Deli Sun Tortilla (40g) | Bredawy brown bread (50g)",1432,128,119,47,0,No,None
2026-07-27,Green,score-pos-1,"Good outweighed the bad. Managed calories on target, carbs on target, but had issues with low protein, fats higher than goal, low hydration.",2400,150,270,80,3000,"Eggs | Light Gouda Cheese | Turkey Slices 30g | Vanilla Extract 5g | Chia Seeds 15g | Nescafe 2g | Unsweetened Cocoa Powder 5g | Honey 7g | Banana 120g | Almarai Half Cream Milk 240ml | Rolled Oats 60g | مولتو مينى ماجنم مكس تشيز كيك فراولة (100g) | Sour Cream & Onions Protein Crackers (70g) | Indomie Beef Flavor Jumbo Instant Noodles",2215,92,257,95,2000,No,None
2026-07-28,Green,score-pos-3,"Great day. Hit calories on target, carbs on target, fats on target, but had issues with low protein, low hydration.",2400,150,270,80,3000,"Vanilla Extract 5g | Chia Seeds 15g | Cinnamon 2g | Nescafe Instant Coffee 2g | Unsweetened Cocoa Powder 5g | Honey 21g | Almarai Half Cream Milk 240g | Rolled Oats 60g | Vienna Bread 50g | Light Gouda Cheese | Eggs | Roz Be Laban 150g | Spaghetti Bolognese | Temry air fried chicken nuggets (200g)",2303,113,247,86,0,No,None
2026-07-29,Grey,score-0,"Even split. Achieved protein goal met, carbs on target, but offset by calories higher than goal, fats higher than goal, low hydration.",2400,150,270,80,3000,"Vanilla Extract 5g | Chia Seeds 15g | Cinnamon 2g | Nescafe Instant Coffee 2g | Unsweetened Cocoa Powder 5g | Honey 21g | Almarai Half Cream Milk 240g | Rolled Oats 60g | Beef Sausages | Butter 20g | Sweet 'N Sour Sauce 50g | Medium Fries 117g | Mcchicken 145g | Big Mac | Eggs | Smoked Turkey Slices 30g | Parmesan Cheese 15g | Temry air fried chicken nuggets (84g) | Bredawy brown bread (50g) | Chocolate chip cookies low cal (56g)",3506,139,300,192,0,No,None
